Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
elastic-belt-pattern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-1_ff5a34b3-f3b7-44ae-ae87-1fbefec59bbd.jpg?v=1657923574,15,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-pattern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-2_a58015b1-fd24-409b-9227-c9c061949569.jpg?v=1657923574,16,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-pattern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-2_a30e8b56-9067-4780-b0f5-fe5e7633c447.jpg?v=1657923574,17,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-pattern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belts-pattern-3_6e881e52-b7d7-42ac-a304-a176df8be2d9.jpg?v=1657923574,18,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-piping,Elastic Belt Piping,"<meta charset=""utf-8""><span>Elastic belt with mixed antique seed and metallic piping beads. </span><br><br>
<li>27.5"" Length</li>
<li>One Size Fits Most</li>",Cocobelle,,Belts,"Beaded, Belts, Full Price Accessories, Holiday Sale 2018",true,Color,BLACK,Size,OS,,,'845175035941,113.3980925,shopify,deny,manual,30.00,,true,true,'845175035941,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-1.jpg?v=1589555189,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping.jpg?v=1589555189,lb,,,active
elastic-belt-piping,,,,,,,,,BRONZE,,OS,,,'845175035958,113.3980925,shopify,deny,manual,30.00,,true,true,'845175035958,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping.jpg?v=1589555189,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-3.jpg?v=1589555189,lb,,,
elastic-belt-piping,,,,,,,,,GRAY METALLIC MIX,,OS,,,'845175035989,113.3980925,shopify,deny,manual,30.00,,true,true,'845175035989,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-2.jpg?v=1589555189,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-6.jpg?v=1589555189,lb,,,
elastic-belt-piping,,,,,,,,,IVRY-BLK-SILVER MIX,,OS,,,'845175035996,113.3980925,shopify,deny,manual,30.00,,true,true,'845175035996,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-4.jpg?v=1589555189,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping_d1a20fc9-e372-4798-8a5a-2bb48612be9b.jpg?v=1589555189,lb,,,
elastic-belt-piping,,,,,,,,,SNOW MIX,,OS,,,'845175036009,113.3980925,shopify,deny,manual,30.00,,true,true,'845175036009,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-3.jpg?v=1589555189,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-4_b1b23873-ba5e-4ab4-bbee-316bb23d0a3c.jpg?v=1589555189,lb,,,
elastic-belt-piping,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-5.jpg?v=1589555189,6,,,,,,,,,,,,,,,,,,,,,,
